# Radius scaledkt lo up
0.36133 0.9315 0.9127 0.9507
0.36249 0.9318 0.9129 0.9510
0.36349 0.9320 0.9131 0.9513
0.36951 0.9334 0.9141 0.9531
0.38807 0.9379 0.9173 0.9589
0.39830 0.9405 0.9191 0.9624
0.40614 0.9425 0.9205 0.9651
0.41190 0.9441 0.9215 0.9672
0.44382 0.9530 0.9270 0.9796
0.44488 0.9533 0.9272 0.9800
0.45190 0.9553 0.9285 0.9830
0.46103 0.9580 0.9300 0.9868
0.48477 0.9652 0.9342 0.9973
0.49960 0.9698 0.9367 1.0041
0.50817 0.9725 0.9382 1.0081
0.52897 0.9792 0.9418 1.0180
0.58286 0.9970 0.9511 1.0452
